iter	Passed	Remaining
0	1	1916
1	2	1267
2	3	1098
3	4	1092
4	5	1133
5	7	1192
6	8	1153
7	9	1135
8	10	1162
9	12	1190
10	13	1173
11	14	1181
12	16	1273
13	19	1399
14	21	1395
15	24	1484
16	26	1534
17	28	1532
18	29	1523
19	31	1527
20	32	1512
21	33	1503
22	35	1493
23	36	1497
24	38	1499
25	39	1481
26	40	1470
27	42	1474
28	44	1486
29	45	1475
30	46	1468
31	49	1492
32	51	1512
33	52	1501
34	54	1504
35	56	1502
36	57	1498
37	59	1506
38	61	1504
39	62	1496
40	64	1497
41	65	1488
42	66	1481
43	67	1475
44	69	1471
45	70	1465
46	71	1459
47	73	1453
48	75	1466
49	76	1460
50	79	1472
51	80	1468
52	81	1462
53	82	1453
54	84	1446
55	85	1438
56	86	1433
57	103	1685
58	105	1678
59	106	1673
60	109	1680
61	110	1678
62	112	1668
63	114	1674
64	115	1666
65	116	1653
66	118	1646
67	119	1639
68	121	1636
69	122	1623
70	123	1614
71	124	1606
72	126	1602
73	127	1594
74	128	1588
75	130	1584
76	131	1577
77	132	1568
78	133	1559
79	134	1551
80	136	1543
81	137	1535
82	137	1522
83	138	1515
84	140	1507
85	141	1502
86	245	2573
87	250	2597
88	252	2587
89	253	2565
90	255	2550
91	261	2579
92	281	2743
93	295	2845
94	297	2837
95	299	2820
96	305	2839
97	307	2831
98	309	2814
99	310	2795
100	312	2777
101	313	2759
102	314	2740
103	315	2722
104	317	2708
105	319	2692
106	320	2675
107	322	2662
108	323	2645
109	325	2629
110	326	2615
111	327	2596
112	328	2580
113	330	2565
114	331	2549
115	332	2533
116	333	2515
117	334	2501
118	335	2487
119	337	2474
120	338	2459
121	340	2446
122	342	2441
123	343	2426
124	344	2413
125	346	2404
126	348	2393
127	349	2381
128	352	2377
129	354	2369
130	355	2358
131	356	2346
132	358	2335
133	359	2325
134	361	2314
135	362	2303
136	363	2290
137	364	2279
138	366	2270
139	369	2269
140	371	2261
141	372	2248
142	373	2240
